"class","text"
"Pos","Gone for a run beautiful morning  man do I love iOS 5 @apple #iPhone"
"Pos","@apple your simply the best."
"Pos","I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's"
"Pos","Day305 I'm thankful for the great customer service received today from @Apple via phone CS new phone on the way #365daysofgratefulness"
"Pos","S/O to @apple for replacing my phone for free"
"Pos","Loving the new iPod update @apple"
"Pos","@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri."
"Pos","RT @tomkeene Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/BPPJwncp"
"Pos","@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed"
"Pos","Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT"
"Pos","Loving my new #iPhone4S thanks @apple for #ios5"
"Pos","i love this. so much. thank you @apple.  http://t.co/Ui8lOEzX"
"Pos","@apple the iPhone 4s is great #genius"
"Pos","@apple Cards app notifies me the card I sent has arrived at local post office and should be delivered today... Sunday. Truly is #magic."
"Pos","Love my new I0S5 @Apple updates. Just when I think it can't get any better somehow it simplifies my life more. That's right-it's an Apple."
"Pos","@apple Siri is amazing"
"Pos","@rygurl you need an @apple iphone4S with Siri!"
"Pos","Meet #Siri your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple"
"Pos","So I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac"
"Pos","I  @Apple http://t.co/a8on3IAa"
"Pos","@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry"
"Pos","Loving #iOS5 !! #awesome @Apple"
"Pos","RT @MattyRiesz: @kathrynyee You were right an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}"
"Pos","Thank you @apple for your innovations. Exhibit A: Guy playing with Facetime instead of watching game at sports bar. http://t.co/oU7K39ge"
"Pos","@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??"
"Pos","@apple by far the best iPod and first time iPhone ever.... Good job guys"
"Pos","Thank you Steve @apple store 5th av. http://t.co/nSAisriP"
"Pos","@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?"
"Pos","@Apple iOS 5 is sweet! Notifications phone search covers mail now wifi sync iCloud backup and integrated Twitter are all well done."
"Pos","RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ..."
"Pos","Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s"
"Pos","I &lt;3 @apple http://t.co/ondXWpEr"
"Pos","Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys."
"Pos","Impressive service @apple genius bar metro centre. Power cable replaced free n booked in for screen replacement for free :- D"
"Pos","RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple"
"Pos","the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple"
"Pos","My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job @apple."
"Pos","It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!"
"Pos","RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple"
"Pos","@RickySinghPT got a new backside for my eye phone! V impressed with @apple"
"Pos","#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things"
"Pos","Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!"
"Pos","_ibertaddigital.tv/ iPad a briliant SteveJobs produck http://t.co/00ohfLY6@Apple present... http://t.co/DBbWSDpx"
"Pos","Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple"
"Pos","@apple iOS 5 upgrade done ...... Much better feature..... Few more feature required"
"Pos","New iOS 5 update is THE BEST. iloveyou @apple"
"Pos","Finally got my iPhone 4S thanks @Apple. Stupid @att. Learned my lesson."
"Pos","I absolutely love my iPhone 4S. Thank you Steve and @apple."
"Pos","@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s"
"Pos","dammit listening to siri is making me want to upgrade. well played @apple."
"Pos","Create new folders from within your photo album in #iOS5 finally!! Thanks @Apple that's been a thorn in my side for a while. #newfeature"
"Pos","Video card on @Kimaris workstation died after just six months. So long @hp. Hello @apple."
"Pos","@Blackberry & @Facebook U R really about to make me throw this @Blackberry in the trash an get an @Apple iPhone! @Facebook upload issues!"
"Pos","#iOS5 update submitted to @apple! Thanks for all the support!"
"Pos","Awesome service from the @apple store in pc. Thanks chris!"
"Pos","RT @To1ne: .@apple thanks for fixing this... http://t.co/wTj1ogDO"
"Pos","I am crazy about #iOS5 . The photo cropping is the best! @apple"
"Pos",".@apple thanks for fixing this... http://t.co/wTj1ogDO"
"Pos","Hell yes!!! Got my contacts back!!  Thanks @apple"
"Pos","RT @SawyerHartman: I FU*KING LOVE YOU @APPLE this phone is the best thing ever !! SIRI = BEST THING EVER MADE"
"Pos","@apple has changed life."
"Pos","Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!"
"Pos","@jonsibley Actually the @Apple  mouse is pretty sweet man."
"Pos","The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple"
"Pos","Finally got the @apple IPhone thanks to @sprint getting with the times"
"Pos","#iOs5 is nice and as it had to be ! Thanks @Apple"
"Pos","Good support fm Kevin @apple #Bellevue store 4 biz customers TY!"
"Pos","Just downloaded IOS 5. It's better than I expected! #thankyou @apple"
"Pos","Wow I am loving this new @apple update for my touch. #coolness Well done"
"Pos","@Apple: Siri is amazing!!! I'm in love!"
"Pos","Love love love iOS 5!! @apple"
"Pos"," fitness"
"Pos"," beauty and personality. :)KISSES TheFashionIcon"
"Pos","Apka Apna Awam Ka Channel Frankline Tv Aam Admi Production Please Visit Or Likes  Share :)Fb Page :..."
"Pos","Beautiful album from  the greatest unsung guitar genius of our time - and I've met the great backstage"
"Pos","Good luck to Rich riding for great project in this Sunday. Can you donate?"
"Pos","Omg he... kissed... him crying with joy"
"Pos","happy anniv ming and papi!!!!! love love happy"
"Pos","thanks happy"
"Pos","C'mon Tweeps"
"Pos"," Join  vote for the singer! Do spread the word. :D"
"Pos","Thanks for the great review! smile"
"Pos","Yay another art raffle! Everything you need to know is in the picture :D"
"Pos","Hello I hope you visit Luxor its amazing city in Egypt pleas check"
"Pos","We got a Vive tracker in the office and our intern"
"Pos"," went to work.Don't get too excited"
"Pos"," this isn't"
"Pos","Take a look at favourites.io You can do this and more happy"
"Pos","Go back to school for music! I think I will in time happy"
"Pos","Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon"
"Pos","thanks for being top influencers in my community last week happy"
"Pos","Share the love: thanks for being top new followers this week happy  Want this?"
"Pos","retweet this tweet if you want your to be included in the nhc scrapbook!! i'll be making something out of all of the usern"
"Pos","Happy 420 happy  pass it to your followers!"
"Pos","Who wants some good vibes? Watch this on YouTube or TV100 application now for FREE happy"
"Pos","Great to work with you too such a lovely place! Thank you for havin"
"Pos","Nothing is ever as it seems. What looks bad today"
"Pos"," will be a blessing tomorrow happy  Keep your faith stirred up each day!"
"Pos","Mmmmmmmm love naughty wives smile"
"Pos","You deserve a vacation happy"
"Pos","Never known how hard it is until last to  days how to resist temptation to enter politics debates on social media happy  stood firm so far"
"Pos","Some summer salad inspiration for the BBQ smile"
"Pos","Hey thanks for being top new followers this week! Much appreciated happy  Want this ?"
"Pos","you should post this offer on this website happy"
"Pos","thanks for being top new followers - have a great week happy"
"Pos","I prefer it to sharm - enjoy it happy  Gouna 20km away is also quite nice - honestly anywhere away from crazy cairo is"
"Pos","Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon"
"Pos","Hey thanks for being top new followers this week! Much appreciated happy"
"Pos","thanks for the recent follow. Much appreciated happy"
"Pos","Thanks Lala.. Much needed happy"
"Pos","Thanks for connecting We are passionate about  - hope you like our tweets happy"
"Pos","hey"
"Pos"," keep smiling happy"
"Pos","Said it yesterday... happy"
"Pos","We love that our bloggers love us so much happy  Thank you for such an amazing review The Perfect Glasses h"
"Pos","only way to make sense of those crazy edge cases is the idea of sharing revenue was offensive"
"Pos"," rather"
"Pos","Gentle reminder on our TP guidelines happy  please read and spread. Thank you. happy KISSES TheFashionIcon"
"Pos","keep being you"
"Pos"," cheeky :D"
"Pos","smile  So true. For someone who was being recognised for her contribution to fashion"
"Pos"," she might have dressed a bit better."
"Pos","sounds like a lot of fun :D I like it"
"Pos","Oh"
"Pos"," Jin was spotted at Everland today. Nice to see them having a break after the US tour happy"
"Pos","There was nothing religious in it. is calling out sexism. I don't think I need to spell out my stand"
"Pos","Go back to school for music! I think I will in time happy"
"Pos","Theres only one thing I want to change about you . Your Last Name happy  ALDUBOnly"
"Pos","welcome brother  happy"
"Pos","Thanks for the recent follow Happy to connect happy  have a great Thursday."
"Pos","SONE who cant stream at Genie!You CAN stream for TY at Genie! We are still sharing some Genie IDs. If you want it"
"Pos"," DM us happy  S"
"Pos","Spending time with dogs or other animals is great at helping you to relax and de-stress. Great idea happy"
"Pos","My new video for happy  I hope you like ithappy"
"Pos","Got This interview poppin happy  $$$$$"
"Pos","Love your tweetability! We'd like to reach out to with an opportunity! Could you hit us with your email happy"
"Pos","Thanks for the recent follow Happy to connect happy  have a great Thursday."
"Pos","uss"
"Pos"," I'll DM you half naked pictures happy"
"Pos","Evet happy"
"Pos","Well"
"Pos"," I hope it doesn't last too long and you at least get to enjoy the weekend. And happy birthday again happy"
"Pos","Excited about event next week in Bangalore!  come happy"
"Pos","Want to win a pet chick happy  Simply follow  retweet for your chance to win! Winners will be selected Sunday 23rd. Go"
"Pos","Top retweeters this week"
"Pos"," Thank you happy"
"Pos","dope!! that's a cool word. finally down with the hip young millenial memers smile"
"Pos","2nd Cousin Vlad !!!!! maybe thats a message from the Hockey G"
"Pos","Thanks for the recent follow Happy to connect happy  have a great Thursday. (Want this?"
"Pos","Earlier happy"
"Pos","Just win at weekend and it will be a late gift"
"Pos"," ok? :D"
"Pos","we finally got jinyoung to wipe it for jaebum himself but their precious son blocks it for the world to witness it"
"Pos","Here is question 18! Make sure to use in all your tweets  replies happy"
"Pos","And this credit also goes to Ik happy"
"Pos","My other accounts:them both or get rekt! :D"
"Pos","Hey thanks for being top new followers this week! Much appreciated happy"
"Pos","Les videre happy"
"Pos","clauditte"
"Pos","my friend is such an egg"
"Pos","congratulations David! Well done Mrs V! Welcome Jessica! happy"
"Pos","have you tried these new hacks?! **TRYING DUMB LIFE HACKS 17**"
"Pos","Keep tweeting team. Higher! Thank you for the efforts. :)KISSES TheFashionIcon"
"Pos","here are some very happy boys to brighten up your day happy"
"Pos","A huge thank you to all the within the Social Work  Care Sectors! Keep up the great work happy"
"Pos","Lunchtime with Flinthook! This game has so much personality :D"
"Pos","Ministers of PMLN are happy like those students who never studied for exams  luckily exams got delayed. They'll still ha"
"Pos",":D When mom is a bit tired"
"Pos","What we did after the climax shot happy"
"Pos","Miss Petite happy Thursday happy   looking forward to the weekend?"
"Pos","rt  quote with your name for a calligraphy of it happy  i'll try my best to make it pretty!! non mutuals/mutuals (ifb) fl"
"Pos","mutual: let's talk more!me: for sure!mutual:  happy  me:"
"Pos","I got TH will add sim ant as a possible thanks happy"
"Pos","If you want a friend in Washington"
"Pos"," get a dog. :D"
"Pos","Congrats Winner :D and it's Eyounji you did well my girl"
"Pos","Did you notice? There is no killings of RSS / BJP workers in another Southern State? CM is dismantling Xtian infra in Munnar?"
"Pos","Hi please rt my pinned post happy"
"Pos","The video will definitely be a 30 minute episode if not longer."
"Pos","I would love to win these gorgeous nail polishes :D! Aren't they cute"
"Pos","Jae celebrating with Sheena Easton after the triumphant opening night of 42nd Street in the West End! happy"
"Pos","Happy belated birthday :)Another duet of you and Amaal is much needed"
"Pos","Your titties are fantastic. Kissy Kissy"
"Pos","Pls RT[NCT FIC] Love Song"
"Pos","Goodevening happy"
"Pos","Ministers of PMLN are happy like those students who never studied for exams  luckily exams got delayed. They'll still ha"
"Pos","Thanks for the retweets this week. Much appreciated happy   Want this"
"Pos","=Thumbnail UHC= This is my best render ever :Dand Favs are appreciated brosOpinios ?"
"Pos","Thanks again for notifying us! We have updated our add-on plans accordingly happy"
"Pos","Very cool! happy  surrounds you for a full recovery."
"Pos","A nice morning working from today. Lovely atmosphere"
"Pos"," friendly service"
"Pos"," wifi"
"Pos"," comforting London fog."
"Pos","I just did happy"
"Pos","Have a great day everyone happy"
"Pos","Kiera's Quest: Awakenings (Kiera's Quest  Book 1)"
"Pos","Have you voted for The Wolf's Bite on Greenlight yet? happy  help us get Wolfie  Pigs on Steam!"
"Pos","Go back to school for music! I think I will in time happy"
"Pos","Here is a new thesis by another genius.Sir"
"Pos"," we loved to have reply by you. :D Now get lost ."
"Pos","your birthday isn't for another for hours for me"
"Pos"," but happy birthday hoe! have a good day"
"Pos"," i love you i guess happy"
"Pos","Its hard to see your best friend with another girl happy"
"Pos","The offer still going happy"
"Pos","If you can't be there for someone at their worst then you don't deserve to be there at their best :)KISSES TheFashionIcon"
"Pos","Demit the gocoh game is real crying with joy"
"Pos","Found use for the sewable LED holder happy"
"Pos","Select from 14 award-winning Laura Taylor romance ebooks"
"Pos","So excited for the things coming in the future happy  things are going great"
"Pos","you guys are entertaining and insightful... and one of the reasons i have been really enjoying LPL a lot more this season :D"
"Pos","Thats how it sounds like at superbooth happy"
"Pos","i want to learn the choreo but my ugly body says no crying with joy"
"Pos","Share the love you're top engaged community members this week! Much Appreciated happy"
"Pos","Hi Kylie"
"Pos"," looking forward to you visiting! You've picked a great day too"
"Pos"," the sun is shining happy"
"Pos","Ok. Just please read the replies on this...."
"Pos","THIS RIGHT HERE.aren't you happy you don't have [x]???NO. BECAUSE I'M STILL HERE IN THIS 'CONDITION' WITH NO I"
"Pos","To all FLA members and officers who are going to Cebu tomorrow silence  Godbless piss off mga ante and angkol!  happy"
"Pos","for every like ill post an answer smile"
"Pos","Maybe not a band but we can definitely collab! Hi my name is Philip  happy"
"Pos","LEGO_Group: LegoThursdays JokerSquad_SWG LEGOLANDWindsor Sounds like you had lots of fun! happy"
"Pos","a friend who would like a BRAND NEW Strapback hats only 14.99 at"
"Pos","yes you had smile"
"Pos","mata_tytan: almightyTANNER: good evening everyone happy  join our twitter party tonight. official tagline:TANN"
"Pos","First attempts of bird photography. :-)Passer domesticus. How surprising. wink"
"Pos","People who don%27t know me always think I am quiet. People who do know me. wish I was :)KISSES TheFashionIcon"
"Pos","Love you too P!"
"Pos","RT: good evening everyone happy  join our twitter party tonight. official tagline:TANNER WelcomeBackPH TMI"
"Pos","oh yes happy"
"Pos","Hey Robert Rolih thanks for the follow! What does coastal living mean to you? Reply with photo :D"
"Pos","Have you ever been to AUSTRALIA! :D Love your vids. Lovo on youtube :D"
"Pos","OPENING UP TO YOU LOT!RT LIKES WOULD BE LAAAAAVERLY :D .xxENJOY"
"Pos","In other words they never missed articles happy"
"Pos","IF THE BELOW TWEET HITS 1000 IS GETTING RIAN HOLDING THE STICKER TOO!!! Click the below tweet  SM"
"Pos","Bill Nye Answers Science Questions From Twitter | WIRED"
"Pos","How are you doing today? happy"
"Pos","We're ready for our next fire lighting session at - we have a few keen early birds here already smile"
"Pos","Go Kisses!!...  I know you can do it.."
"Pos","If this gets 70rts I will giveaway 5 minecraft accounts and an origin account randomly to people who retw"
"Pos","Hi Mr. Yen! Will you be doing any signings in New York some day? Your a great role model happy"
"Pos","it's just a cut during one of my kitchen experiments happy"
"Pos","Wow i just made a JS compressor that actually checks scoped variables existing. Turns out i have a few issues happy  Linters may be useful happy"
"Pos","This week Marilyn pops by and get's down and dirty  happy  Cum see!"
"Pos","loool i'm mad avoid me today :D"
"Pos","You're welcome Thomas happy  Kim"
"Pos"," Look at this happy"
"Pos","He didn't play for a year"
"Pos"," so I'm super impressed he's got his musical mojo back! Thank you so much happy"
"Pos","Watch this MayWard Fam!"
"Pos","I was thinking the same. Our i know is so cute happy"
"Pos","SONE who cant stream at Genie!You CAN stream for TY at Genie! We are still sharing some Genie IDs. If you want it"
"Pos"," DM us happy  S"
"Pos","Mythbuster/20 happy"
"Pos","Aha it's okay  she's going to be on Rough Night happy"
"Pos","Company photoshoot with our fabulous photographer happy  Look at this determination (concrete shoes) to get"
"Pos","Perfect"
"Pos"," this worked out beautifully. If you redesign the import page to suit the whole application would mak"
"Pos","Hey"
"Pos"," have a great day today happy"
"Pos","Come volunteer at The Abbeydale Picture House! Next Wednesday..."
"Pos","Should have had Farnell Fursday isn%27t it happy  all meet up at Tax and Pounds happy"
"Pos","Here's one of my rolls of 'Poundland' film! (A store that sells all products at 140.) And here's the DX d"
"Pos","Thanks for the recent follow Happy to connect happy  have a great Thursday."
"Pos","thanks :D"
"Pos","Love them! Can I get some? smile"
"Pos","OPENING UP TO YOU LOT!RT LIKES WOULD BE LAAAAAVERLY :D .xxENJOY"
"Pos","Spending my night talking to my beloved ???Perfect.I LOVE YOU MAN! happy"
"Pos",".Is the winner of the donation giveaway"
"Pos"," answer this with yoyour steam trade link and ill send you right away :D"
"Pos","for the recent follow. Much appreciated happy  Want this?"
"Pos","I think I'm probably beyond repair by the sounds of tea etiquette happy"
"Pos",".- layout- btob happy"
"Pos","i am if you're still looking for one happy"
"Pos","Sydney tomorrow"
"Pos","Byron in 3 weeks"
"Pos","Hobart in 7 weeks. Lots to look forward to happy"
"Pos","I hit that"
"Pos"," new job starts in to  weeks! :D"
"Pos","Why do people on the internet have to be such asses annoyance  Here's some positivity for you. I love your art!!! :D It's so pretty!!"
"Pos","The best community gathering coming up! We're full"
"Pos"," but here's how you can be a part of this happy"
"Pos","mutual: let's talk more!me: for sure!mutual:  happy  me:"
"Pos","Happy birthday Megan happy"
"Pos","Just wandering around"
"Pos"," popping into a store"
"Pos"," owner told me about it (as in article) smile"
"Pos","Did you see this one? happy  Transitional Piece // Chiffon Dress"
"Pos","Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon"
"Pos","Thank you crew happy"
"Pos","a little video i made for the love of my life"
"Pos"," minute yoongi~watch 'til the end for a free cookie happy"
"Pos","Just let is know when you'd like one happy"
"Pos","you know what i really love about you lot?not only do you support me in the comments"
"Pos"," you also support each other! AN"
"Pos","I just did happy"
"Pos","hey"
"Pos"," keep smiling happy"
"Pos","Nothing could be better happy"
"Pos","so inspiring crying with joy"
"Pos","instant message fine yoo"
"Pos"," thank you happy"
"Pos","What a day! What better way to spend this sunny day than drinks by the shore happy"
"Pos","I suppose they are waiting for you happy"
"Pos","Aww hating that I got sponsored"
"Pos"," how childish of you Commando happy"
"Pos","Definitely wasn't what I was looking for :/ But gave it a try anyway happy"
"Pos","The one with backward cap"
"Pos"," please! :D| KenBie"
"Pos","blessing your first day of April happy"
"Pos","Helloo :D  (keep_smiling_y)"
"Pos","my contribution to ( posted on my tumblr a while ago crying with joy  )"
